task_id,task_description,occupation,soc_code,agent_capability,software_replaced,accel_pct,employment,hourly_wage,task_share,annual_impact_usd
17326,Monitor patients' medication usage and results....,Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17324,Evaluate patients' behavior to formulate diagnoses or assess treatments....,Advanced Practice Psychiatric Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0417,7679903400
17315,Monitor the use and status of medical and pharmaceutical supplies....,Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17321,Provide routine physical health screenings to detect or monitor problems such as heart disease and d...,Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17316,"Develop practice protocols for mental health problems, based on review and evaluation of published r...",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17332,"Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing ...",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17328,"Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately...",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
1851,"Prepare rooms, sterile instruments, equipment, or supplies and ensure that stock of supplies is main...",Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1847,Prepare patients for and assist with examinations or treatments....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1860,"Direct or coordinate infection control programs, advising or consulting with specified personnel abo...",Registered Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
1848,Observe nurses and visit patients to ensure proper nursing care....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1842,Modify patient treatment plans as indicated by patients' responses and conditions....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1861,"Perform administrative or managerial functions, such as taking responsibility for a unit's staff, bu...",Registered Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
1850,"Instruct individuals, families, or other groups on topics such as health education, disease preventi...",Registered Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
1840,"Monitor, record, and report symptoms or changes in patients' conditions....",Registered Nurses,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.037,6826580800
1844,"Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition....",Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1841,Record patients' medical information and vital signs....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18309,Treat wounds or superficial lacerations....,Acute Care Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
1855,"Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in l...",Registered Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
18319,Collaborate with patients to plan for future health care needs or to coordinate transitions and refe...,Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1843,"Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient ...",Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1862,Provide or arrange for training or instruction of auxiliary personnel or students....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18303,"Assess urgent and emergent health conditions, using both physiologically and technologically derived...",Acute Care Nurses,29-1141,Tier2_Knowledge,Excel/Sheets,60%,3282010,45.0,0.037,6826580800
18310,"Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipme...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18308,"Document data related to patients' care, including assessment results, interventions, medications, p...",Acute Care Nurses,29-1141,Tier2_Good,"Excel/Sheets, Word/Docs",60%,3282010,45.0,0.037,6826580800
18316,"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for ad...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18300,Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic intervent...,Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18306,"Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient t...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18318,Assess the needs of patients' family members or caregivers....,Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18312,"Order, perform, or interpret the results of diagnostic tests and screening procedures based on asses...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18314,"Prescribe medications and observe patients' reactions, modifying prescriptions as needed....",Acute Care Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.037,6826580800
18305,"Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutri...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
18297,"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therap...",Acute Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1845,"Monitor all aspects of patient care, including diet and physical activity....",Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
20413,Administer medications to patients and monitor patients for reactions or side effects....,Registered Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.037,6826580800
1839,"Maintain accurate, detailed reports and records....",Registered Nurses,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.037,6826580800
7284,"Design, evaluate, recommend, and approve changes of forms and reports....",Management Analysts,13-1111,Tier2_Excellent,"Word/Docs, Design",80%,893900,48.65,0.0909,6578583913
18336,"Assess patients' psychosocial status and needs, including areas such as sleep patterns, anxiety, gri...",Critical Care Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0345,6355782124
18341,Document patients' medical histories and assessment findings....,Critical Care Nurses,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.0345,6355782124
18349,Coordinate patient care conferences....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18351,"Participate in the development, review, or evaluation of nursing practice protocols....",Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18325,Identify patients' age-specific needs and alter care plans as necessary to meet those needs....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18343,Identify patients at risk of complications due to nutritional status....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18342,"Document patients' treatment plans, interventions, outcomes, or plan revisions....",Critical Care Nurses,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.0345,6355782124
18353,Supervise and monitor unit nursing staff....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18328,"Perform approved therapeutic or diagnostic procedures, based upon patients' clinical status....",Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18348,Assess family adaptation levels and coping skills to determine whether intervention is needed....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18346,Ensure that equipment or devices are properly stored after use....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18332,"Set up and monitor medical equipment and devices such as cardiac monitors, mechanical ventilators an...",Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18329,"Administer blood and blood products, monitoring patients for signs and symptoms related to transfusi...",Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18352,"Plan, provide, or evaluate educational programs for nursing staff, interdisciplinary health care tea...",Critical Care Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0345,6355782124
18340,Conduct pulmonary assessments to identify abnormal respiratory patterns or breathing sounds that ind...,Critical Care Nurses,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0345,6355782124
18334,Monitor patients for changes in status and indications of conditions such as sepsis or shock and ins...,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18333,"Monitor patients' fluid intake and output to detect emerging problems, such as fluid and electrolyte...",Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18327,Evaluate patients' vital signs or laboratory data to determine emergency intervention needs....,Critical Care Nurses,29-1141,Tier2_Knowledge,Excel/Sheets,60%,3282010,45.0,0.0345,6355782124
18337,"Collaborate with other health care professionals to develop and revise treatment plans, based on ide...",Critical Care Nurses,29-1141,Tier2_Knowledge,Excel/Sheets,60%,3282010,45.0,0.0345,6355782124
18335,Assess patients' pain levels or sedation requirements....,Critical Care Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0345,6355782124
18344,"Prioritize nursing care for assigned critically ill patients, based on assessment data or identified...",Critical Care Nurses,29-1141,Tier2_Knowledge,Excel/Sheets,60%,3282010,45.0,0.0345,6355782124
18339,Compile and analyze data obtained from monitoring or diagnostic tests....,Critical Care Nurses,29-1141,Tier2_Good,Excel/Sheets,60%,3282010,45.0,0.0345,6355782124
21323,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities ...",Financial Managers,11-3031,Tier2_Excellent,Word/Docs,80%,818620,77.74,0.0588,6229185840
21314,Prepare operational or risk reports for management analysis....,Financial Managers,11-3031,Tier2_Excellent,Word/Docs,80%,818620,77.74,0.0588,6229185840
21188,Provide coaching and mentoring to other caregivers to help facilitate their professional growth and ...,Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18004,Provide specialized direct and indirect care to inpatients and outpatients within a designated speci...,Clinical Nurse Specialists,29-1141,Tier2_Good,Design,60%,3282010,45.0,0.0333,6143922720
18020,Prepare reports to document patients' care activities....,Clinical Nurse Specialists,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.0333,6143922720
18006,Collaborate with other health care professionals and service providers to ensure optimal patient car...,Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18013,"Instruct nursing staff in areas such as the assessment, development, implementation, and evaluation ...",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18019,Perform discharge planning for patients....,Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
20415,"Develop and maintain departmental policies, procedures, objectives, or patient care standards, based...",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18001,"Observe, interview, and assess patients to identify care needs....",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
20420,Teach patient education programs that include information required to make informed health care and ...,Clinical Nurse Specialists,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0333,6143922720
18011,"Plan, evaluate, or modify treatment programs, based on information gathered by observing and intervi...",Clinical Nurse Specialists,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0333,6143922720
18003,"Provide direct care by performing comprehensive health assessments, developing differential diagnose...",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18015,Identify training needs or conduct training sessions for nursing students or medical staff....,Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18000,Coordinate or conduct educational programs or in-service training sessions on topics such as clinica...,Clinical Nurse Specialists,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0333,6143922720
18010,"Make clinical recommendations to physicians, other health care providers, insurance companies, patie...",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18018,"Participate in clinical research projects, such as by reviewing protocols, reviewing patient records...",Clinical Nurse Specialists,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0333,6143922720
18014,Direct or supervise nursing care staff in the provision of patient therapy....,Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
20418,"Lead nursing department implementation of, or compliance with, regulatory or accreditation processes...",Clinical Nurse Specialists,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0333,6143922720
18017,Monitor or evaluate medical conditions of patients in collaboration with other health care professio...,Clinical Nurse Specialists,29-1141,Tier2_Good,Python automation,60%,3282010,45.0,0.0333,6143922720
2580,Check to ensure that appropriate changes were made to resolve customers' problems....,Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2585,Obtain and examine all relevant information to assess validity of complaints and to determine possib...,Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2589,Compare disputed merchandise with original requisitions and information from invoices and prepare in...,Customer Service Representatives,43-4051,Tier2_Good,Python automation,60%,2725930,20.59,0.0769,5388182275
2587,Review insurance policy terms to determine whether a particular loss is covered by insurance....,Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2579,Resolve customers' service or billing complaints by performing activities such as exchanging merchan...,Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2582,Refer unresolved customer grievances to designated departments for further investigation....,Customer Service Representatives,43-4051,Tier2_Good,Design,60%,2725930,20.59,0.0769,5388182275
2578,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, o...",Customer Service Representatives,43-4051,Tier2_Good,Python automation,60%,2725930,20.59,0.0769,5388182275
2583,"Determine charges for services requested, collect deposits or payments, or arrange for billing....",Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2581,Contact customers to respond to inquiries or to notify them of claim investigation results or any pl...,Customer Service Representatives,43-4051,Tier2_Knowledge,Python automation,60%,2725930,20.59,0.0769,5388182275
2584,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, ...",Customer Service Representatives,43-4051,Tier2_Good,Python automation,60%,2725930,20.59,0.0769,5388182275
10792,"Adjust controls to guide, position, or move equipment, such as cranes, booms, or cameras....","Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier2_Good,Python automation,60%,2982530,18.72,0.0769,5359964314
10779,Read work orders or receive oral instructions to determine work assignments or material or equipment...,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier2_Knowledge,Python automation,60%,2982530,18.72,0.0769,5359964314
15974,Identify or procure needed resources to implement sustainability programs or projects....,Sustainability Specialists,13-1199,Tier2_Excellent,Python automation,80%,1128200,39.07,0.0714,5239077138
15976,Develop reports or presentations to communicate the effectiveness of sustainability initiatives....,Sustainability Specialists,13-1199,Tier2_Excellent,"Word/Docs, PowerPoint",80%,1128200,39.07,0.0714,5239077138
15975,Create or maintain plans or other documents related to sustainability projects....,Sustainability Specialists,13-1199,Tier2_Excellent,Word/Docs,80%,1128200,39.07,0.0714,5239077138
15972,"Write grant applications, rebate applications, or project proposals to secure funding for sustainabi...",Sustainability Specialists,13-1199,Tier2_Excellent,Word/Docs,80%,1128200,39.07,0.0714,5239077138
15981,"Develop sustainability project goals, objectives, initiatives, or strategies in collaboration with o...",Sustainability Specialists,13-1199,Tier2_Excellent,Python automation,80%,1128200,39.07,0.0714,5239077138
974,Control operational budget and expenditures....,Computer and Information Systems Managers,11-3021,Tier2_Excellent,Python automation,80%,645970,82.31,0.0588,5204384219
969,"Assign and review the work of systems analysts, programmers, and other computer-related workers....",Computer and Information Systems Managers,11-3021,Tier2_Excellent,Python automation,80%,645970,82.31,0.0588,5204384219
972,Review and approve all systems charts and programs prior to their implementation....,Computer and Information Systems Managers,11-3021,Tier2_Excellent,Visualization,80%,645970,82.31,0.0588,5204384219
980,Prepare and review operational reports or project progress reports....,Computer and Information Systems Managers,11-3021,Tier2_Excellent,Word/Docs,80%,645970,82.31,0.0588,5204384219
979,Evaluate data processing proposals to assess project feasibility and requirements....,Computer and Information Systems Managers,11-3021,Tier2_Excellent,Excel/Sheets,80%,645970,82.31,0.0588,5204384219
7279,"Develop and implement records management program for filing, protection, and retrieval of records, a...",Management Analysts,13-1111,Tier2_Good,Python automation,60%,893900,48.65,0.0909,4933937935
7280,"Review forms and reports and confer with management and users about format, distribution, and purpos...",Management Analysts,13-1111,Tier2_Good,Word/Docs,60%,893900,48.65,0.0909,4933937935
7283,"Prepare manuals and train workers in use of new forms, reports, procedures or equipment, according t...",Management Analysts,13-1111,Tier2_Good,Word/Docs,60%,893900,48.65,0.0909,4933937935
7285,"Plan study of work problems and procedures, such as organizational change, communications, informati...",Management Analysts,13-1111,Tier2_Good,Python automation,60%,893900,48.65,0.0909,4933937935
7282,"Document findings of study and prepare recommendations for implementation of new systems, procedures...",Management Analysts,13-1111,Tier2_Good,Word/Docs,60%,893900,48.65,0.0909,4933937935
7277,Analyze data gathered and develop solutions or alternative methods of proceeding....,Management Analysts,13-1111,Tier2_Good,Excel/Sheets,60%,893900,48.65,0.0909,4933937935
7278,Confer with personnel concerned to ensure successful functioning of newly implemented systems or pro...,Management Analysts,13-1111,Tier2_Knowledge,Python automation,60%,893900,48.65,0.0909,4933937935
7286,Recommend purchase of storage equipment and design area layout to locate equipment in space availabl...,Management Analysts,13-1111,Tier2_Good,Design,60%,893900,48.65,0.0909,4933937935
7276,Gather and organize information on problems or procedures....,Management Analysts,13-1111,Tier2_Knowledge,Python automation,60%,893900,48.65,0.0909,4933937935
8866,"Develop internal control policies, guidelines, and procedures for activities, such as budget adminis...",Treasurers and Controllers,11-3031,Tier2_Excellent,Python automation,80%,818620,77.74,0.0455,4813461786
8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securit...",Treasurers and Controllers,11-3031,Tier2_Writing,Python automation,80%,818620,77.74,0.0455,4813461786
8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and pr...",Treasurers and Controllers,11-3031,Tier2_Writing,Python automation,80%,818620,77.74,0.0455,4813461786
8856,"Prepare or direct preparation of financial statements, business activity reports, financial position...",Treasurers and Controllers,11-3031,Tier2_Excellent,Word/Docs,80%,818620,77.74,0.0455,4813461786
8869,Provide direction and assistance to other organizational units regarding accounting and budgeting po...,Treasurers and Controllers,11-3031,Tier2_Excellent,Python automation,80%,818620,77.74,0.0455,4813461786
20169,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring chan...",Treasurers and Controllers,11-3031,Tier2_Excellent,Python automation,80%,818620,77.74,0.0455,4813461786
8857,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and b...",Treasurers and Controllers,11-3031,Tier2_Excellent,Word/Docs,80%,818620,77.74,0.0455,4813461786
21312,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establ...",Financial Managers,11-3031,Tier2_Knowledge,Python automation,60%,818620,77.74,0.0588,4671889380
21311,Establish and maintain relationships with individual or business customers or provide assistance wit...,Financial Managers,11-3031,Tier2_Knowledge,Python automation,60%,818620,77.74,0.0588,4671889380
21316,Oversee training programs....,Financial Managers,11-3031,Tier2_Good,Python automation,60%,818620,77.74,0.0588,4671889380
21327,"Establish procedures for custody or control of assets, records, loan collateral, or securities to en...",Financial Managers,11-3031,Tier2_Knowledge,Python automation,60%,818620,77.74,0.0588,4671889380
21321,Develop or analyze information to assess the current or future financial status of firms....,Financial Managers,11-3031,Tier2_Knowledge,Python automation,60%,818620,77.74,0.0588,4671889380
21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real esta...",Financial Managers,11-3031,Tier2_Knowledge,Python automation,60%,818620,77.74,0.0588,4671889380
21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors....",Financial Managers,11-3031,Tier2_Good,Word/Docs,60%,818620,77.74,0.0588,4671889380
21326,Review collection reports to determine the status of collections and the amounts of outstanding bala...,Financial Managers,11-3031,Tier2_Good,Word/Docs,60%,818620,77.74,0.0588,4671889380
21329,Review reports of securities transactions or price lists to analyze market conditions....,Financial Managers,11-3031,Tier2_Good,Word/Docs,60%,818620,77.74,0.0588,4671889380
21315,Evaluate data pertaining to costs to plan budgets....,Financial Managers,11-3031,Tier2_Good,Excel/Sheets,60%,818620,77.74,0.0588,4671889380
15833,"Prepare wind project documentation, including diagrams or layouts....",Wind Energy Development Managers,11-9199,Tier2_Excellent,Word/Docs,80%,630980,65.65,0.0667,4595284318
15828,"Update schedules, estimates, forecasts, or budgets for wind projects....",Wind Energy Development Managers,11-9199,Tier2_Excellent,Calendar,80%,630980,65.65,0.0667,4595284318
15830,"Provide verbal or written project status reports to project teams, management, subcontractors, custo...",Wind Energy Development Managers,11-9199,Tier2_Excellent,Word/Docs,80%,630980,65.65,0.0667,4595284318
15835,"Develop scope of work for wind project functions, such as design, site assessment, environmental stu...",Wind Energy Development Managers,11-9199,Tier2_Excellent,Design,80%,630980,65.65,0.0667,4595284318
15824,Supervise the work of subcontractors or consultants to ensure quality and conformance to specificati...,Wind Energy Development Managers,11-9199,Tier2_Excellent,Python automation,80%,630980,65.65,0.0667,4595284318
15838,"Create wind energy project plans, including project scope, goals, tasks, resources, schedules, costs...",Wind Energy Development Managers,11-9199,Tier2_Excellent,Calendar,80%,630980,65.65,0.0667,4595284318
17587,"Provide customers with product details, such as coffee blend or preparation descriptions....",Baristas,35-3023,Tier2_Excellent,Python automation,75%,3780930,14.65,0.0526,4547861801
17873,Collect recyclable materials from curbside for delivery to designated facilities....,Recycling and Reclamation Workers,53-7062,Tier2_Good,Design,54%,2982530,18.72,0.0714,4479398748
