task_id,task_description,occupation,soc_code,rag_capability,accel_pct,employment,hourly_wage,task_share,annual_impact_usd
20414,"Provide consultation to other health care providers in areas such as patient discharge, patient care...",Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
18005,"Maintain departmental policies, procedures, objectives, or infection control standards....",Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
18002,Evaluate the quality and effectiveness of nursing practice or organizational systems....,Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
18016,"Read current literature, talk with colleagues, or participate in professional organizations or confe...",Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
10796,Connect electrical equipment to power sources so that it can be tested before use....,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier1_Knowledge,30%,2982530,18.72,0.0769,2679982157
10780,"Record numbers of units handled or moved, using daily production sheets or work tickets....","Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier1_Knowledge,30%,2982530,18.72,0.0769,2679982157
10778,Attach identifying tags to containers or mark them with identifying information....,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier1_Knowledge,30%,2982530,18.72,0.0769,2679982157
10789,Maintain equipment storage areas to ensure that inventory is protected....,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,Tier1_Knowledge,30%,2982530,18.72,0.0769,2679982157
15969,"Research or review regulatory, technical, or market issues related to sustainability....",Sustainability Specialists,13-1199,Tier1_Good,40%,1128200,39.07,0.0714,2619538569
17881,Record logs of recycled materials or waste chemicals removed from products....,Recycling and Reclamation Workers,53-7062,Tier1_Knowledge,30%,2982530,18.72,0.0714,2488554860
7281,"Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and...",Management Analysts,13-1111,Tier1_Writing,30%,893900,48.65,0.0909,2466968967
21319,Oversee the flow of cash or financial instruments....,Financial Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0588,2335944690
21317,"Examine, evaluate, or process loan applications....",Financial Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0588,2335944690
21322,Communicate with stockholders or other investors to provide information or to raise capital....,Financial Managers,11-3031,Tier1_Partial,30%,818620,77.74,0.0588,2335944690
21313,Recruit staff members....,Financial Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0588,2335944690
828,"Compile, copy, sort, and file records of office activities, business transactions, and other activit...","Office Clerks, General",43-9061,Tier1_Good,40%,2510550,20.97,0.05,2190083314
701,Answer questions regarding the store and its merchandise....,Retail Salespersons,41-2031,Tier1_Good,40%,3800250,16.62,0.0417,2189552040
5441,"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution...",Market Research Analysts and Marketing Specialists,13-1161,Tier1_Good,40%,861140,37.0,0.0769,2039179520
15672,Identify group or individual target investors for a specific fund....,Investment Fund Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.05,1985552987
15679,Select specific investments or investment mixes for purchase by an investment fund....,Investment Fund Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.05,1985552987
15675,Develop or implement fund investment policies or strategies....,Investment Fund Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.05,1985552987
15668,"Present investment information, such as product risks, fees, or fund performance statistics....",Investment Fund Managers,11-3031,Tier1_Writing,30%,818620,77.74,0.05,1985552987
15660,Prepare for and respond to regulatory inquiries....,Investment Fund Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.05,1985552987
15662,Hire or evaluate staff....,Investment Fund Managers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.05,1985552987
15665,Attend investment briefings or consult financial media to stay abreast of relevant investment market...,Investment Fund Managers,11-3031,Tier1_Partial,30%,818620,77.74,0.05,1985552987
15979,"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, techni...",Sustainability Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0714,1964653927
15977,"Create marketing or outreach media, such as brochures or Web sites, to communicate sustainability is...",Sustainability Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0714,1964653927
976,"Develop and interpret organizational goals, policies, and procedures....",Computer and Information Systems Managers,11-3021,Tier1_Knowledge,30%,645970,82.31,0.0588,1951644082
966,"Manage backup, security and user help systems....",Computer and Information Systems Managers,11-3021,Tier1_Knowledge,30%,645970,82.31,0.0588,1951644082
970,Stay abreast of advances in technology....,Computer and Information Systems Managers,11-3021,Tier1_Knowledge,30%,645970,82.31,0.0588,1951644082
17596,"Demonstrate the use of retail equipment, such as espresso machines....",Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17588,Receive and process customer payments....,Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17581,"Prepare or serve hot or cold beverages, such as coffee, espresso drinks, blended coffees, or teas....",Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17585,"Describe menu items to customers, or suggest products that might appeal to them....",Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17589,"Serve prepared foods, such as muffins, biscotti, or bagels....",Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17597,"Prepare or serve menu items, such as sandwiches or salads....",Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
17598,Set up or restock product displays....,Baristas,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.0526,1819144720
8868,"Advise management on short-term and long-term financial objectives, policies, and actions....",Treasurers and Controllers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0455,1805048170
8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and...",Treasurers and Controllers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0455,1805048170
8874,Perform tax planning work....,Treasurers and Controllers,11-3031,Tier1_Knowledge,30%,818620,77.74,0.0455,1805048170
15827,"Lead or support negotiations involving tax agreements or abatements, power purchase agreements, land...",Wind Energy Development Managers,11-9199,Tier1_Knowledge,30%,630980,65.65,0.0667,1723231619
827,"Answer telephones, direct calls, and take messages....","Office Clerks, General",43-9061,Tier1_Knowledge,30%,2510550,20.97,0.05,1642562485
704,Prepare sales slips or sales contracts....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
712,Prepare merchandise for purchase or rental....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
717,Rent merchandise to customers....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
694,Greet customers and ascertain what each customer wants or needs....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
695,"Open and close cash registers, performing tasks such as counting money, separating charge slips, cou...",Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
696,"Maintain knowledge of current sales and promotions, policies regarding payment and exchanges, and se...",Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
708,Exchange merchandise for customers and accept returns....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
713,"Sell or arrange for delivery, insurance, financing, or service contracts for merchandise....",Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
710,Help customers try on or fit merchandise....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
703,"Ticket, arrange, and display merchandise to promote sales....",Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
705,Place special orders or call other stores to find desired items....,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
699,Watch for and recognize security risks and thefts and know how to prevent or handle these situations...,Retail Salespersons,41-2031,Tier1_Knowledge,30%,3800250,16.62,0.0417,1642164030
21516,Review accounts for discrepancies and reconcile differences....,Accountants and Auditors,13-2011,Tier1_Good,40%,1448290,39.27,0.0345,1631705441
15810,"Provide technical support to wind field customers, employees, or subcontractors....",Wind Energy Operations Managers,11-9199,Tier1_Knowledge,30%,630980,65.65,0.0625,1615529643
23226,Contact prospective or existing customers to discuss how services can meet their needs....,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Knowledge,30%,1189330,31.86,0.0667,1576309438
23235,Negotiate prices or terms of sales or service agreements....,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Writing,30%,1189330,31.86,0.0667,1576309438
23232,Inform customers of contracts or other information pertaining to purchased services....,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Knowledge,30%,1189330,31.86,0.0667,1576309438
23229,"Distribute promotional materials at meetings, conferences, or trade shows....","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Writing,30%,1189330,31.86,0.0667,1576309438
23227,Create forms or agreements to complete sales....,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Knowledge,30%,1189330,31.86,0.0667,1576309438
23222,"Answer customers' questions about services, prices, availability, or credit terms....","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,Tier1_Knowledge,30%,1189330,31.86,0.0667,1576309438
3775,"Analyze the probable outcomes of cases, using knowledge of legal precedents....",Lawyers,23-1011,Tier1_Knowledge,30%,747750,72.67,0.0455,1541251424
3786,Negotiate settlements of civil disputes....,Lawyers,23-1011,Tier1_Writing,30%,747750,72.67,0.0455,1541251424
3789,Supervise legal assistants....,Lawyers,23-1011,Tier1_Knowledge,30%,747750,72.67,0.0455,1541251424
23992,Negotiate contractual agreements....,Lawyers,23-1011,Tier1_Writing,30%,747750,72.67,0.0455,1541251424
3790,Perform administrative and management functions related to the practice of law....,Lawyers,23-1011,Tier1_Knowledge,30%,747750,72.67,0.0455,1541251424
3779,Represent clients in court or before government agencies....,Lawyers,23-1011,Tier1_Knowledge,30%,747750,72.67,0.0455,1541251424
3781,"Select jurors, argue motions, meet with judges, and question witnesses during the course of a trial....",Lawyers,23-1011,Tier1_Knowledge,30%,747750,72.67,0.0455,1541251424
16,Direct foreign sales and service outlets of an organization....,Sales Managers,11-2022,Tier1_Knowledge,30%,603710,66.38,0.0588,1470961433
8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiven...,Sales Managers,11-2022,Tier1_Knowledge,30%,603710,66.38,0.0588,1470961433
3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, re...",Sales Managers,11-2022,Tier1_Knowledge,30%,603710,66.38,0.0588,1470961433
13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipmen...",Sales Managers,11-2022,Tier1_Knowledge,30%,603710,66.38,0.0588,1470961433
14,Oversee regional and local sales managers and their staffs....,Sales Managers,11-2022,Tier1_Knowledge,30%,603710,66.38,0.0588,1470961433
8125,Obtain credit information about prospective customers....,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,Tier1_Knowledge,30%,1266860,32.11,0.0556,1410200986
8113,"Answer customers' questions about products, prices, availability, product uses, and credit terms....","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,Tier1_Knowledge,30%,1266860,32.11,0.0556,1410200986
20267,Prepare sales contracts and order forms....,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,Tier1_Knowledge,30%,1266860,32.11,0.0556,1410200986
20268,Negotiate details of contracts and payments....,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,Tier1_Writing,30%,1266860,32.11,0.0556,1410200986
8129,"Negotiate with retail merchants to improve product exposure, such as shelf positioning and advertisi...","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,Tier1_Writing,30%,1266860,32.11,0.0556,1410200986
2408,"Answer customers' questions, and provide information on procedures or policies....",Cashiers,41-2011,Tier1_Good,40%,3148030,14.99,0.0357,1402186528
9460,Investigate applications for duty refunds and petition for remission or mitigation of penalties when...,Customs and Border Protection Officers,33-3051,Tier1_Knowledge,30%,666990,36.68,0.0909,1387843687
9454,"Inspect cargo, baggage, and personal articles entering or leaving U.S. for compliance with revenue l...",Customs and Border Protection Officers,33-3051,Tier1_Knowledge,30%,666990,36.68,0.0909,1387843687
9453,"Interpret and explain laws and regulations to travelers, prospective immigrants, shippers, and manuf...",Customs and Border Protection Officers,33-3051,Tier1_Knowledge,30%,666990,36.68,0.0909,1387843687
9459,"Collect samples of merchandise for examination, appraisal, or testing....",Customs and Border Protection Officers,33-3051,Tier1_Knowledge,30%,666990,36.68,0.0909,1387843687
15961,Identify opportunities for strategic improvement or mitigation of business interruption and other ri...,Business Continuity Planners,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0476,1309769285
15960,"Analyze impact on, and risk to, essential business functions or information systems to identify acce...",Business Continuity Planners,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0476,1309769285
23103,Balance receipts and payments in cash registers....,Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23125,"Plan, prepare, and deliver meals to individuals with special dietary needs....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23100,"Accept payment from customers, and make change as necessary....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23114,Notify kitchen personnel of shortages or special orders....,Fast Food and Counter Workers,35-3023,Tier1_Writing,30%,3780930,14.65,0.037,1280138877
23099,"Communicate with customers regarding orders, comments, and complaints....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23115,"Prepare and serve cold drinks, frozen milk drinks, or desserts, using drink-dispensing, milkshake, o...",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23116,"Select food items from serving or storage areas and place them in dishes, on serving trays, or in ta...",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23122,"Add relishes and garnishes to food orders, according to instructions....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23118,"Perform personnel activities, such as supervising and training employees....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
23121,"Set up dining areas for meals, and clear them following meals....",Fast Food and Counter Workers,35-3023,Tier1_Knowledge,30%,3780930,14.65,0.037,1280138877
11432,"Assign work to employees, based on material or worker requirements of specific jobs....",First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,Tier1_Knowledge,30%,806080,37.83,0.0667,1268550666
11437,"Suggest or initiate personnel actions, such as promotions, transfers, or hires....",First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,Tier1_Knowledge,30%,806080,37.83,0.0667,1268550666
17728,"Assess system performance or functionality at the system, subsystem, and component levels....",Solar Energy Installation Managers,47-1011,Tier1_Knowledge,30%,806080,37.83,0.0667,1268550666
3206,Weigh materials or products and record weight or other production data on tags or labels....,Industrial Truck and Tractor Operators,53-7051,Tier1_Knowledge,30%,805770,22.3,0.1111,1245827856
2283,"Present menus to patrons and answer questions about menu items, making recommendations upon request....",Waiters and Waitresses,35-3031,Tier1_Good,40%,2302690,16.23,0.04,1243762082
21534,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expend...",Accountants and Auditors,13-2011,Tier1_Knowledge,30%,1448290,39.27,0.0345,1223779081
21510,Confer with company officials about financial and regulatory matters....,Accountants and Auditors,13-2011,Tier1_Writing,30%,1448290,39.27,0.0345,1223779081
21515,Prepare adjusting journal entries....,Accountants and Auditors,13-2011,Tier1_Knowledge,30%,1448290,39.27,0.0345,1223779081
21518,Examine inventory to verify journal and ledger entries....,Accountants and Auditors,13-2011,Tier1_Knowledge,30%,1448290,39.27,0.0345,1223779081
21504,Train personnel in security procedures or use of security equipment....,Security Management Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0435,1195876303
21484,Conduct security audits to identify potential vulnerabilities related to physical security or staff ...,Security Management Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0435,1195876303
21496,Perform risk analyses so that appropriate countermeasures can be developed....,Security Management Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0435,1195876303
21500,Recommend improvements in security systems or procedures....,Security Management Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0435,1195876303
21490,"Inspect fire, intruder detection, or other security systems....",Security Management Specialists,13-1199,Tier1_Knowledge,30%,1128200,39.07,0.0435,1195876303
15844,Negotiate contracts for services or materials needed for environmental remediation....,Brownfield Redevelopment Specialists and Site Managers,11-9199,Tier1_Writing,30%,630980,65.65,0.0435,1123846708
15856,Coordinate the disposal of hazardous waste....,Brownfield Redevelopment Specialists and Site Managers,11-9199,Tier1_Knowledge,30%,630980,65.65,0.0435,1123846708
15851,Develop or implement plans for revegetation of brownfield sites....,Brownfield Redevelopment Specialists and Site Managers,11-9199,Tier1_Knowledge,30%,630980,65.65,0.0435,1123846708
15849,Identify environmental contamination sources....,Brownfield Redevelopment Specialists and Site Managers,11-9199,Tier1_Knowledge,30%,630980,65.65,0.0435,1123846708
50,Develop and implement organizational policies and procedures for the facility or medical unit....,Medical and Health Services Managers,11-9111,Tier1_Knowledge,30%,565840,56.71,0.0556,1112411262
53,"Maintain communication between governing boards, medical staff, and department heads by attending bo...",Medical and Health Services Managers,11-9111,Tier1_Knowledge,30%,565840,56.71,0.0556,1112411262
9707,Discuss job performance problems with employees to identify causes and issues and to work on resolvi...,First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Knowledge,30%,1495580,31.8,0.0357,1059896181
9711,"Recruit, interview, and select employees....",First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Knowledge,30%,1495580,31.8,0.0357,1059896181
9712,Interpret and communicate work procedures and company policies to staff....,First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Writing,30%,1495580,31.8,0.0357,1059896181
9717,Coordinate activities with other supervisory personnel or with other work units or departments....,First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Knowledge,30%,1495580,31.8,0.0357,1059896181
9719,"Develop or update procedures, policies, or standards....",First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Knowledge,30%,1495580,31.8,0.0357,1059896181
9730,"Coordinate or perform activities associated with shipping, receiving, distribution, or transportatio...",First-Line Supervisors of Office and Administrative Support Workers,43-1011,Tier1_Knowledge,30%,1495580,31.8,0.0357,1059896181
2401,"Issue receipts, refunds, credits, or change due to customers....",Cashiers,41-2011,Tier1_Knowledge,30%,3148030,14.99,0.0357,1051639896
18765,Assist customers by providing information and resolving their complaints....,Cashiers,41-2011,Tier1_Knowledge,30%,3148030,14.99,0.0357,1051639896
2419,"Request information or assistance, using paging systems....",Cashiers,41-2011,Tier1_Writing,30%,3148030,14.99,0.0357,1051639896
2402,Count money in cash drawers at the beginning of shifts to ensure that amounts are correct and that t...,Cashiers,41-2011,Tier1_Knowledge,30%,3148030,14.99,0.0357,1051639896
2423,Post charges against guests' or patients' accounts....,Cashiers,41-2011,Tier1_Knowledge,30%,3148030,14.99,0.0357,1051639896
2413,Sell tickets and other items to customers....,Cashiers,41-2011,Tier1_Knowledge,30%,3148030,14.99,0.0357,1051639896
23885,Take inventory or examine merchandise to identify items to be reordered or replenished....,Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23875,"Store items in an orderly and accessible manner in warehouses, tool rooms, supply rooms, or other ar...",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23873,"Read orders to ascertain catalog numbers, sizes, colors, and quantities of merchandise....",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23895,Keep records of out-going orders....,Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23894,Keep records on the use or damage of stock or stock-handling equipment....,Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23891,"Dispose of damaged or defective items, or return them to vendors....",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23893,"Recommend disposal of excess, defective, or obsolete stock....",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23897,"Requisition merchandise from supplier, based on available space, merchandise on hand, customer deman...",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
23886,"Issue or distribute materials, products, parts, and supplies to customers or coworkers, based on inf...",Stockers and Order Fillers,53-7065,Tier1_Knowledge,30%,2779530,17.83,0.0333,1030827614
18862,"Interview job applicants to obtain information on work history, training, education, or job skills....",Human Resources Specialists,13-1071,Tier1_Good,40%,917460,35.05,0.0385,1029023136
18868,Review employment applications and job orders to match applicants with job requirements....,Human Resources Specialists,13-1071,Tier1_Good,40%,917460,35.05,0.0385,1029023136
2503,Reconcile records of bank transactions....,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,Tier1_Good,40%,1455770,23.66,0.0357,1023464541
2137,"Answer telephone calls to take messages, answer questions, and provide information during non-busine...",Security Guards,33-9032,Tier1_Partial,30%,1241770,18.45,0.0714,1021160690
2138,"Warn persons of rule infractions or violations, and apprehend or evict violators from premises, usin...",Security Guards,33-9032,Tier1_Knowledge,30%,1241770,18.45,0.0714,1021160690
2136,"Circulate among visitors, patrons, or employees to preserve order and protect property....",Security Guards,33-9032,Tier1_Knowledge,30%,1241770,18.45,0.0714,1021160690
2132,Answer alarms and investigate disturbances....,Security Guards,33-9032,Tier1_Knowledge,30%,1241770,18.45,0.0714,1021160690
